Брой нишки,Тест 1,Тест 2,Тест 3,Средно време в miliseconds,Ускорение(S(p)), Ефективност (Е(р))
1,48870,48563,48636,48689.66667,1,1
2,25494,25459,25596,25516.33333,1.908176463,0.954088231
3,22256,22873,22013,22380.66667,2.175523517,0.725174506
4,20816,20330,20253,20466.33333,2.379012688,0.594753172
5,17492,17077,17495,17354.66667,2.805566226,0.561113245
6,15333,15208,15684,15408.33333,3.159956734,0.561113245
7,13175,13447,13156,13259.33333,3.672105185,0.526659456
8,11725,11755,11987,11822.33333,4.118448136,0.514806017
9,9253,9314,9170,9245.666667,5.266214804,0.585134978
10,8559,8186,8629,8458,5.756640656,0.575664066
11,7270,7669,7392,7443.666667,6.541086383,0.594644217
12,6700,6782,6602,6694.666667,7.272903801,0.606075317
13,6116,6009,6843,6322.666667,7.700811894,592370146
14,5864,5149,5883,5632,8.645182292,0.617513021
15,5337,5125,5092,5184.666667,9.361089109,0.626072607
16,5036,5393,5088,5172.333333,9.413481989,0.588342624
